Symbol,Date,Expiry,Option Type,Strike Price,Open,High,Low,Close,LTP,Settle Price,No. of contracts,Turnover in Lacs,Premium Turnover in Lacs,Open Int,Change in OI,futures_price
BANKNIFTY,01-Dec-17,28-Dec-17,CE,22400,3049.3,3049.3,2947.15,2956,2956,2956,7,71.11,8.39,64120,0,25259.65
BANKNIFTY,01-Dec-17,28-Dec-17,CE,27500,19.9,25,7.25,8,9,8,881,9694.85,3.85,18480,5840,25259.65
BANKNIFTY,01-Dec-17,28-Dec-17,CE,22600,0,0,0,1912.75,0,2697.3,0,0,0,0,0,25259.65
BANKNIFTY,01-Dec-17,28-Dec-17,CE,22700,0,0,0,1831.95,0,2598.2,0,0,0,0,0,25259.65
BANKNIFTY,01-Dec-17,28-Dec-17,CE,22800,0,0,0,1752.65,0,2499.3,0,0,0,0,0,25259.65
BANKNIFTY,01-Dec-17,28-Dec-17,CE,22900,0,0,0,1674.9,0,2400.55,0,0,0,0,0,25259.65
BANKNIFTY,01-Dec-17,28-Dec-17,CE,23000,2290,2290,2248.75,2249.4,2250,2249.4,7,70.76,6.36,16080,-240,25259.65
BANKNIFTY,01-Dec-17,28-Dec-17,CE,23100,0,0,0,2266.7,2280,2203.95,0,0,0,360,0,25259.65
BANKNIFTY,01-Dec-17,28-Dec-17,CE,23200,0,0,0,2320,2320,2106.2,0,0,0,200,0,25259.65
BANKNIFTY,01-Dec-17,28-Dec-17,CE,23300,0,0,0,1380.7,0,2008.95,0,0,0,0,0,25259.65
BANKNIFTY,01-Dec-17,28-Dec-17,CE,23400,0,0,0,1311.75,0,1912.35,0,0,0,0,0,25259.65
BANKNIFTY,01-Dec-17,28-Dec-17,CE,23500,1950,1981.95,1860,1860,1860,1860,6,61.03,4.63,10000,80,25259.65
BANKNIFTY,01-Dec-17,28-Dec-17,CE,23600,0,0,0,1179.75,0,1721.5,0,0,0,0,0,25259.65
BANKNIFTY,01-Dec-17,28-Dec-17,CE,23700,0,0,0,1116.7,0,1627.55,0,0,0,0,0,25259.65
BANKNIFTY,01-Dec-17,28-Dec-17,CE,23800,0,0,0,1055.7,0,1534.8,0,0,0,0,0,25259.65
BANKNIFTY,01-Dec-17,28-Dec-17,CE,23900,0,0,0,996.75,0,1443.5,0,0,0,0,0,25259.65
BANKNIFTY,01-Dec-17,28-Dec-17,CE,24000,1475,1512.05,1290,1313.9,1321.35,1313.9,268,2718.2,145.4,54840,1120,25259.65
BANKNIFTY,01-Dec-17,28-Dec-17,CE,24100,0,0,0,885.1,0,1265.9,0,0,0,0,0,25259.65
BANKNIFTY,01-Dec-17,28-Dec-17,CE,24200,0,0,0,1742,1742,1180.05,0,0,0,40,0,25259.65
BANKNIFTY,01-Dec-17,28-Dec-17,CE,24300,0,0,0,781.85,0,1096.45,0,0,0,0,0,25259.65
BANKNIFTY,01-Dec-17,28-Dec-17,CE,24400,0,0,0,733.25,0,1015.35,0,0,0,0,0,25259.65
BANKNIFTY,01-Dec-17,28-Dec-17,CE,24500,1090.4,1100,880,909.85,910,909.85,367,3739.56,142.96,87600,-2520,25259.65
BANKNIFTY,01-Dec-17,28-Dec-17,CE,24600,0,0,0,642.5,0,862.35,0,0,0,0,0,25259.65
BANKNIFTY,01-Dec-17,28-Dec-17,CE,24700,871,871,811,820,820,820,4,40.87,1.35,120,-40,25259.65
BANKNIFTY,01-Dec-17,28-Dec-17,CE,24800,0,0,0,559.9,0,719.6,0,0,0,0,0,25259.65
BANKNIFTY,01-Dec-17,28-Dec-17,CE,24900,600,640,584.05,621.65,619.95,621.65,135,1378.17,33.57,5360,5360,25259.65
